;Ementa;Currículo;Disciplina;Turma;Nome da Disciplina;Horas  Aula;Vagas  Ofertadas;Vagas  Ocupadas;Alunos  Especiais;Saldo  Vagas;Pedidos  sem vaga;Horários;Professor;HorasAula;VagasOfertadas;VagasOcupadas;AlunosEspeciais;SaldoVagas;Pedidossem vaga
21;;;ACL5133;05102E;Bioquímica Clínica;126.0;10.0;10.0;0.0;LOTADA;;2.0910-1 / CCS-ACL005  5.1620-2 / CCS-ACL005  6.1330-4 / CCS-ACL101;Beatriz Garcia Mendes Borba;;;;;;
22;;;ACL5133;05102F;Bioquímica Clínica;126.0;10.0;10.0;0.0;LOTADA;;2.0910-1 / CCS-ACL005  3.0820-4 / CCS-ACL101  5.1620-2 / CCS-ACL005;Cirene Lesniowski Delgobo;;;;;;
23;;;ACL5134;08102A;Atenção à Saúde IV;54.0;16.0;12.0;0.0;4;;2.1330-3 / CCS-CCS919;Professor Não Informado  Cleonice Maria Michelon;;;;;;
24;;;ACL5134;08102B;Atenção à Saúde IV;54.0;16.0;9.0;0.0;7;;4.0910-3 / CCS-ACL005;Cleonice Maria Michelon  Professor Não Informado;;;;;;
25;;;ACL5134;08102C;Atenção à Saúde IV;54.0;16.0;10.0;0.0;6;;3.0910-3 / CCS-ACL005;Jussara Kasuko Palmeiro;;;;;;
26;;;ACL5134;08102D;Atenção à Saúde IV;54.0;16.0;9.0;0.0;7;;4.1330-3 / CCS-912A;Jussara Kasuko Palmeiro;;;;;;
27;;;ACL5135;06102A;Hematologia Clínica;108.0;9.0;9.0;0.0;LOTADA;1.0;2.1010-2 / CCS-ACL005  6.0820-4 / CCS-ACL113;Celso Spada;;;;;;
28;;;ACL5135;06102B;Hematologia Clínica;108.0;9.0;7.0;0.0;2;;2.1010-2 / CCS-ACL005  4.0820-4 / CCS-ACL113;Ana Carolina Rabello de Moraes;;;;;;
29;;;ACL5135;06102D;Hematologia Clínica;108.0;9.0;9.0;0.0;LOTADA;2.0;2.1010-2 / CCS-ACL005  3.0820-4 / CCS-ACL113;Solange Lucia Blatt;;;;;;
30;;;ACL5135;06102E;Hematologia Clínica;108.0;9.0;7.0;0.0;2;;2.1010-2 / CCS-ACL005  4.1330-4 / CCS-ACL113;Ana Carolina Rabello de Moraes;;;;;;
31;;;ACL5135;06102F;Hematologia Clínica;108.0;9.0;9.0;0.0;LOTADA;1.0;2.1010-2 / CCS-ACL005  5.1330-4 / CCS-ACL113;Solange Lucia Blatt;;;;;;
32;;;ACL5136;06102A;Uroanálise;54.0;7.0;5.0;0.0;2;;4.0910-3 / CCS-ACL102;Maria de Lourdes Rovaris  Marcos Jose Machado;;;;;;
33;;;ACL5136;06102B;Uroanálise;54.0;7.0;7.0;0.0;LOTADA;;6.0910-3 / CCS-ACL102;Maria de Lourdes Rovaris  Dirleise Colle;;;;;;
34;;;ACL5136;06102C;Uroanálise;54.0;7.0;7.0;0.0;LOTADA;;4.1330-3 / CCS-ACL102;Maria de Lourdes Rovaris  Marcos Jose Machado;;;;;;
35;;;ACL5136;06102E;Uroanálise;54.0;7.0;7.0;0.0;LOTADA;;6.1330-3 / CCS-ACL102;Maria de Lourdes Rovaris  Dirleise Colle;;;;;;
36;;;ACL5136;06102F;Uroanálise;54.0;7.0;7.0;0.0;LOTADA;2.0;3.1330-3 / CCS-ACL102;Maria de Lourdes Rovaris  Marcos Jose Machado;;;;;;
37;;;ACL5137;07102A;Micologia Clínica;54.0;8.0;8.0;0.0;LOTADA;;3.0910-3 / CCS-ACL010;Berenice Pagani Nappi;;;;;;
38;;;ACL5137;07102B;Micologia Clínica;54.0;8.0;6.0;0.0;2;;4.0910-3 / CCS-ACL010;Berenice Pagani Nappi;;;;;;
39;;;ACL5137;07102C;Micologia Clínica;54.0;8.0;5.0;0.0;3;;5.0730-3 / CCS-ACL010;Berenice Pagani Nappi;;;;;;
40;;;ACL5137;07102D;Micologia Clínica;54.0;8.0;8.0;0.0;LOTADA;;6.1330-3 / CCS-ACL010;Jairo Ivo dos Santos;;;;;;
41;;;ACL5137;07102E;Micologia Clínica;54.0;8.0;8.0;0.0;LOTADA;;6.0730-3 / CCS-ACL010;Jairo Ivo dos Santos;;;;;;
42;;;ACL5137;07102F;Micologia Clínica;54.0;8.0;8.0;0.0;LOTADA;1.0;4.1510-3 / CCS-ACL010;Jairo Ivo dos Santos;;;;;;
43;;;ACL5138;07102A;Microbiologia Clínica;108.0;6.0;6.0;0.0;LOTADA;6.0;2.1510-3 / CCS-ACL005  3.0730-2 / CCS-ACL103  4.0730-1 / CCS-ACL103;Lucy Maria Bez Birolo Parucker;;;;;;
44;;;ACL5138;07102B;Microbiologia Clínica;108.0;6.0;6.0;0.0;LOTADA;1.0;2.1510-3 / CCS-ACL005  3.1010-2 / CCS-ACL103  4.0820-1 / CCS-ACL103;Lucy Maria Bez Birolo Parucker;;;;;;
45;;;ACL5138;07102C;Microbiologia Clínica;108.0;6.0;6.0;0.0;LOTADA;;2.1510-3 / CCS-ACL005  3.1620-2 / CCS-ACL103  4.1100-1 / CCS-ACL103;Thaís Cristine Marques Sincero;;;;;;
46;;;ACL5138;07102D;Microbiologia Clínica;108.0;6.0;6.0;0.0;LOTADA;1.0;2.1510-3 / CCS-ACL005  3.1420-2 / CCS-ACL103  4.1710-1 / CCS-ACL103;Thaís Cristine Marques Sincero;;;;;;
47;;;ACL5138;07102E;Microbiologia Clínica;108.0;6.0;6.0;0.0;LOTADA;;2.1510-3 / CCS-ACL005  4.1510-2 / CCS-ACL103  5.0730-1 / CCS-ACL103;Cleonice Maria Michelon;;;;;;
48;;;ACL5138;07102F;Microbiologia Clínica;108.0;6.0;6.0;0.0;LOTADA;;2.1510-3 / CCS-ACL005  4.1330-2 / CCS-ACL103  5.1330-1 / CCS-ACL103;Cleonice Maria Michelon;;;;;;
49;;;ACL5138;07102G;Microbiologia Clínica;108.0;6.0;5.0;0.0;1;;2.1510-3 / AUX-ALOCAR  4.0910-2 / CCS-ACL103  5.0730-1 / AUX-ALOCAR;Jussara Kasuko Palmeiro;;;;;;
50;;;ACL5138;07102H;Microbiologia Clínica;108.0;6.0;5.0;0.0;1;;2.1510-3 / AUX-ALOCAR  5.1420-2 / CCS-ACL103  6.0910-1 / CCS-ACL103;Jussara Kasuko Palmeiro;;;;;;
51;;;ACL5139;08102;Gestão da Qualidade em Análises Clínicas*FARMÁCIA;;;;;;;4.1620-2 / CCS-ACL005;Flavia Martinello;36.0;65.0;31.0;0.0;34;
52;;;ACL5140;08102A;Imunologia Clínica*FARMÁCIA;;;;;;;2.1330-3 / CCS-ACL1054.1330-3 / CCS-ACL005;Eduardo Monguilhott Dalmarco;108.0;7.0;7.0;0.0;LOTADA;1.0
53;;;ACL5140;08102B;Imunologia Clínica*FARMÁCIA;;;;;;;4.1330-3 / CCS-ACL0056.0910-3 / CCS-ACL105;Fabiola Branco Filippin Monteiro;108.0;6.0;6.0;0.0;LOTADA;
54;;;ACL5140;08102C;Imunologia Clínica*FARMÁCIA;;;;;;;4.1330-3 / CCS-ACL0055.1330-3 / CCS-ACL105;Eduardo Monguilhott Dalmarco;108.0;7.0;7.0;0.0;LOTADA;
55;;;ACL5140;08102D;Imunologia Clínica*FARMÁCIA;;;;;;;4.0910-3 / CCS-ACL1054.1330-3 / CCS-ACL005;Maria Luiza Bazzo;108.0;6.0;4.0;0.0;2;
56;;;ACL5140;08102E;Imunologia Clínica*FARMÁCIA;;;;;;;3.0910-3 / CCS-ACL1054.1330-3 / CCS-ACL005;Maria Luiza Bazzo;108.0;6.0;6.0;0.0;LOTADA;2.0
57;;;ACL5140;08102F;Imunologia Clínica*FARMÁCIA;;;;;;;3.1330-3 / CCS-ACL1054.1330-3 / CCS-ACL005;Fabiola Branco Filippin Monteiro;108.0;6.0;6.0;0.0;LOTADA;
58;;;ACL5142;10102;Trabalho de Conclusão de Curso II (TCC)*FARMÁCIA;;;;;;;2.1710-1 / CCS-CCS907;Beatriz Garcia Mendes Borba;18.0;65.0;29.0;0.0;36;
59;;;ACL5143;09102A;Estágio em Análises Clínicas*FARMÁCIA;;;;;;;;Solange Lucia BlattIara Fabricia KretzerEduardo Monguilhott DalmarcoLiliete Canes Souza CordeiroKarin Silva CaumoBerenice Pagani NappiFabiola Branco Filippin MonteiroDirleise Colle;198.0;12.0;12.0;0.0;LOTADA;
60;;;ACL5143;09102B;Estágio em Análises Clínicas*FARMÁCIA;;;;;;;;Solange Lucia BlattIara Fabricia KretzerEduardo Monguilhott DalmarcoLiliete Canes Souza CordeiroKarin Silva CaumoBerenice Pagani NappiFabiola Branco Filippin MonteiroDirleise Colle;198.0;12.0;11.0;0.0;1;
61;;;ACL5143;09102C;Estágio em Análises Clínicas*FARMÁCIA;;;;;;;;Maria Claudia Santos da SilvaDaniela Cristina TartariIara Fabricia KretzerLiliete Canes Souza CordeiroRoberto Ferreira de MeloBeatriz Garcia Mendes BorbaFabiola Branco Filippin MonteiroDirleise Colle;198.0;11.0;11.0;0.0;LOTADA;
62;;;ACL5143;09102D;Estágio em Análises Clínicas*FARMÁCIA;;;;;;;;Maria Claudia Santos da SilvaDaniela Cristina TartariIara Fabricia KretzerLiliete Canes Souza CordeiroRoberto Ferreira de MeloBeatriz Garcia Mendes BorbaFabiola Branco Filippin MonteiroDirleise Colle;198.0;11.0;11.0;0.0;LOTADA;
63;;;ACL5210;03102;Comunicação e Informação para o SUS - 72h-a*FARMÁCIA;;;;;;;4.1830-4 / CCS-ACL005;Lucy Maria Bez Birolo Parucker;72.0;20.0;20.0;0.0;LOTADA;34.0
64;;;ACL5210;03102A;Comunicação e Informação para o SUS - 72h-a*FARMÁCIA;;;;;;;3.1830-4 / CCS-ACL005;Lucy Maria Bez Birolo Parucker;72.0;20.0;0.0;0.0;20;
65;;;ACL7100;06104;Análises Clínicas*ODONTOLOGIA;;;;;;;5.1330-2 / CCS-ACL005;Jairo Ivo dos SantosRoberto Ferreira de MeloCelso SpadaDirleise ColleLenilza Mattos LimaMaria Luiza Bazzo;36.0;48.0;39.0;0.0;9;
66;;;ACL7101;02102;Práticas Farmacêuticas[Reservada Curso]*FARMÁCIA;;;;;;;6.1010-2 / CCS-ACL005;Flavia Martinello;36.0;13.0;13.0;0.0;LOTADA;16.0
67;;;AGR5001;10501;Estágio de Conclusão de Curso[Reservada Curso]*AGRONOMIA;;;;;;;;Rosete Pescador;450.0;3.0;1.0;0.0;2;
68;;;AGR5003;10501;Trabalho de Conclusão de Curso - TCC[Reservada Curso]*AGRONOMIA;;;;;;;;Rosete Pescador;180.0;55.0;28.0;0.0;27;
69;;;AGR5004;10501;Estágio Curricular Supervisionado[Reservada Curso]*AGRONOMIA;;;;;;;;Rosete Pescador;360.0;70.0;24.0;0.0;46;
70;;;AGR5010;10501;Programa de Intercâmbio I[Reservada Curso]*AGRONOMIA;;;;;;;;Paulo Cesar Poliseli;0.0;25.0;1.0;0.0;24;
71;;;AGR5011;10501;Programa de Intercâmbio II[Reservada Curso]*AGRONOMIA;;;;;;;;Paulo Cesar Poliseli;0.0;25.0;1.0;0.0;24;
72;;;AGR5036;10501;Programa de Intercâmbio III[Reservada Curso]*AGRONOMIA;;;;;;;;Paulo Cesar Poliseli;0.0;25.0;0.0;0.0;25;
73;;;AGR5041;10501;Estágio Curricular Supervisionado I[Reservada Curso]*AGRONOMIA;;;;;;;;Rosete Pescador;72.0;15.0;0.0;0.0;15;
74;;;AGR5043;10501;Estágio Curricular Supervisionado II[Reservada Curso]*AGRONOMIA;;;;;;;;Rosete Pescador;288.0;15.0;0.0;0.0;15;
75;;;AGR5104;01501;Introdução à Agronomia[Reservada Curso]*AGRONOMIA;;;;;;;2.1330-3 / CCA-ZDR201;Paulo Cesar Poliseli;54.0;61.0;61.0;0.0;LOTADA;2.0
76;;;AGR5403;04501;Vivência em Agricultura Familiar[Reservada Curso]*AGRONOMIA;;;;;;;;Fábio Luiz BúrigoMarlene GradeCristiano DesconsiPaulo Cesar PoliseliAdemir Antonio CazellaValmir Luiz StropasolasDaniela Aparecida Pacífico;216.0;55.0;29.0;0.0;26;
77;;;AGR5404;04501;Pesquisa e Redação Científica[Reservada Curso]*AGRONOMIA;;;;;;;2.1330-2 / CCA-AQI102;Rosandro Boligon Minuzzi;18.0;40.0;25.0;0.0;15;
78;;;ANT7003;07338;Relações Inter-étnicas*MUSEOLOGIA;;;;;;;3.1420-4 / CFH-CFH320;Ilka Boaventura Leite;72.0;20.0;18.0;0.0;2;
79;;;ANT7003;09451;Relações Inter-étnicas*ARTES CÊNICAS;;;;;;;3.1420-4 / AUX-ALOCAR;Ilka Boaventura Leite;72.0;15.0;14.0;0.0;1;
80;;;ANT7004;05337;Etnologia Indígena*ANTROPOLOGIA;;;;;;;5.1420-4 / CFH-CFH306;Antonella Maria Imperatriz Tassinari;72.0;40.0;31.0;0.0;9;
81;;;ANT7005;08320;Organização Social e Parentesco*CIÊNCIAS SOCIAIS (noturno);;;;;;;3.1830-4 / CFH-CFH326;Marnio Teixeira Pinto;72.0;30.0;26.0;0.0;4;
82;;;ANT7014;05338;Antropologia da Arte[Reservada Curso]*MUSEOLOGIA;;;;;;;2.1420-4 / CFH-CFH312;Giselle Guilhon Antunes Camargo;72.0;35.0;17.0;0.0;18;
83;;;ANT7018;03337;Antropologia e História*ANTROPOLOGIA;;;;;;;6.1420-4 / CFH-CFH323;Scott Correll Head;72.0;40.0;40.0;0.0;LOTADA;2.0
84;;;ANT7035;09310;Tópicos Especiais em Antropologia IX*CIÊNCIAS SOCIAIS;;;;;;;6.0820-4 / CFH-CFH322;Leticia Maria Costa da Nóbrega Cesarino;72.0;30.0;29.0;0.0;1;4.0
85;;;ANT7036;07310;Tópicos Especiais em Antropologia X*CIÊNCIAS SOCIAIS;;;;;;;4.0820-4 / CFH-CFH333;Gabriel Coutinho Barbosa;72.0;30.0;15.0;0.0;15;
86;;;ANT7062;05337;Antropologia do objeto*ANTROPOLOGIA;;;;;;;5.1420-4 / CFH-CFH330;Rafael Victorino Devos;72.0;40.0;28.0;0.0;12;
87;;;ANT7063;01337;Antropologia Simbólica*ANTROPOLOGIA;;;;;;;6.1420-4 / CFH-CFH307;José Antônio Kelly Luciani;72.0;40.0;18.0;0.0;22;
88;;;ANT7071;07337;Programa de Intercâmbio I[Reservada Curso]*ANTROPOLOGIA;;;;;;;;Professor Não Informado;0.0;5.0;0.0;0.0;5;
89;;;ANT7072;03337;Programa de Intercâmbio II[Reservada Curso]*ANTROPOLOGIA;;;;;;;;Professor Não Informado;0.0;5.0;0.0;0.0;5;
90;;;ANT7073;05337;Programa de Intercâmbio III[Reservada Curso]*ANTROPOLOGIA;;;;;;;;Professor Não Informado;0.0;5.0;0.0;0.0;5;
91;;;ANT7100;03309;Antropologia Social*SERVIÇO SOCIAL;;;;;;;2.0820-4 / CSE-CSE007;Juliana Cavilha Mendes Losso;72.0;40.0;40.0;0.0;LOTADA;
92;;;ANT7100;03339;Antropologia Social*SERVIÇO SOCIAL (noturno);;;;;;;6.1830-4 / CSE-CSE007;Juliana Cavilha Mendes Losso;72.0;30.0;30.0;0.0;LOTADA;4.0
93;;;ANT7101;01310;Introdução à Antropologia (PCC 36 horas-aula)[Reservada Curso]*CIÊNCIAS SOCIAIS;;;;;;;2.0730-5 / EF1-EFI2036.0820-1 / EF1-EFI203;Professor A Contratar;108.0;60.0;45.0;0.0;15;
94;;;ANT7101;01319;Introdução à Antropologia (PCC 36 horas-aula)[Reservada Curso]*PSICOLOGIA;;;;;;;3.0820-4 / EF1-EFI5037.0820-2 / AUX-ALOCAR;Miriam Furtado Hartung;108.0;50.0;49.0;0.0;1;
95;;;ANT7101;01337;Introdução à Antropologia (PCC 36 horas-aula)*ANTROPOLOGIA;;;;;;;2.1420-4 / CFH-CFH3077.0820-2 / AUX-ALOCAR;Juliana Cavilha Mendes Losso;108.0;40.0;39.0;0.0;1;1.0
96;;;ANT7101;01338;Introdução à Antropologia (PCC 36 horas-aula)[Reservada Curso]*MUSEOLOGIA;;;;;;;3.1420-4 / CFH-CFH3336.1420-2 / CFH-CFH333;Professor A Contratar;108.0;35.0;33.0;0.0;2;
97;;;ANT7201;02320;Teoria Antropológica I - PCC 36h/a*CIÊNCIAS SOCIAIS (noturno);;;;;;;4.1830-4 / CFH-CFH3016.1830-2 / CFH-CFH301;Vania Zikan Cardoso;108.0;50.0;44.0;0.0;6;
98;;;ANT7202;01337;Introdução à Etnografia*ANTROPOLOGIA;;;;;;;3.1420-4 / CFH-CFH307;Viviane Vedana;72.0;44.0;38.0;0.0;6;
99;;;ANT7204;03337;Leituras Etnográficas II*ANTROPOLOGIA;;;;;;;2.1420-4 / CFH-CFH323;Viviane Vedana;72.0;35.0;24.0;0.0;11;
100;;;ANT7205;05337;Metodologia da Pesquisa II*ANTROPOLOGIA;;;;;;;2.1420-4 / CFH-CFH306;Professor A Contratar;72.0;30.0;15.0;0.0;15;
101;;;ANT7207;07337;TCC I Prática de Pesquisa[Reservada Curso]*ANTROPOLOGIA;;;;;;;;Professor Não Informado;360.0;20.0;0.0;0.0;20;
102;;;ANT7208;08337;TCC II - Trabalho de Conclusão de Curso[Reservada Curso]*ANTROPOLOGIA;;;;;;;;Professor Não Informado;360.0;20.0;9.0;0.0;11;
103;;;ANT7210;01337;Práticas de Escrita em Antropologia*ANTROPOLOGIA;;;;;;;5.1420-4 / CFH-CFH307;Ilka Boaventura Leite;72.0;40.0;31.0;0.0;9;
104;;;ANT7301;03310;Teoria Antropológica II - PCC 18 horas/aula*CIÊNCIAS SOCIAIS;;;;;;;6.0820-4 / CFH-CFH329;Gabriel Coutinho Barbosa;72.0;45.0;40.0;0.0;5;
105;;;ANT7301;03337;Teoria Antropológica II - PCC 18 horas/aula*ANTROPOLOGIA;;;;;;;3.1420-4 / CFH-CFH323;Juliana Cavilha Mendes Losso;72.0;35.0;21.0;0.0;14;
106;;;ANT7401;04320;Teoria Antropológica III - PCC 36 horas/aula*CIÊNCIAS SOCIAIS (noturno);;;;;;;2.2020-2 / CFH-CFH3214.1830-4 / CFH-CFH321;Ana Maria Ramo Y Affonso PaschoalickProfessor A Contratar;108.0;45.0;29.0;0.0;16;
107;;;ANT7501;05337;Tutorial Optativa I[Reservada Curso]*ANTROPOLOGIA;;;;;;;4.1420-2 / CFH-CFH306;Ana Maria Ramo Y Affonso Paschoalick;36.0;25.0;13.0;0.0;12;
108;;;ANT7502;05337;Tutorial Optativa II[Reservada Curso]*ANTROPOLOGIA;;;;;;;4.1620-2 / CFH-CFH306;Ana Maria Ramo Y Affonso Paschoalick;36.0;25.0;7.0;0.0;18;
109;;;ANT7701;07310;Estudos Afro-Brasileiros - PCC 18 horas/aula*CIÊNCIAS SOCIAIS;;;;;;;2.0820-4 / EF1-EFI403;Ana Maria Ramo Y Affonso Paschoalick;72.0;40.0;39.0;0.0;1;5.0
110;;;ANT7701;09451;Estudos Afro-Brasileiros - PCC 18 horas/aula*ARTES CÊNICAS;;;;;;;2.0820-4 / AUX-ALOCAR;Ana Maria Ramo Y Affonso Paschoalick;72.0;10.0;10.0;0.0;LOTADA;2.0
111;;;AQI5103;01234;Aquicultura Geral I[Reservada Curso]*ENGENHARIA DE AQUICULTURA;;;;;;;2.1010-2 / CCA-AQI202;Anita Rademaker Valenca;36.0;50.0;49.0;0.0;1;
112;;;AQI5104;02234;Aquicultura Geral II*ENGENHARIA DE AQUICULTURA;;;;;;;2.1620-2 / CCA-AQI202;Edemar Roberto Andreatta;36.0;40.0;22.0;0.0;18;
113;;;AQI5106;05234;Planejamento e Gestão da Aquicultura*ENGENHARIA DE AQUICULTURA;;;;;;;3.0820-4 / CCA-AQI103;Gilberto José Pereira Onofre de Andrade;72.0;30.0;17.0;0.0;13;
114;;;AQI5107;06234;Piscicultura Continental*ENGENHARIA DE AQUICULTURA;;;;;;;2.1330-2 / CCA-AQI1034.1330-2 / CCA-LAQ008;Debora Machado FracalossiJosé Luiz Pedreira Mouriño;72.0;20.0;18.0;0.0;2;
115;;;AQI5108;03234;Estatística e Informática para Aquicultura*ENGENHARIA DE AQUICULTURA;;;;;;;4.0730-4 / CCA-AQI104;Claudio Manoel Rodrigues de Melo;72.0;15.0;13.0;0.0;2;
116;;;AQI5108;03234A;Estatística e Informática para Aquicultura[Cancelada]*ENGENHARIA DE AQUICULTURA;;;;;;;;Professor Não Informado;72.0;0.0;0.0;0.0;LOTADA;
117;;;AQI5109;01234;Metodologia de Trabalhos Acadêmicos[Reservada Curso]*ENGENHARIA DE AQUICULTURA;;;;;;;6.1010-2 / CCA-AQI202;Roberto Bianchini Derner;36.0;50.0;48.0;0.0;2;
118;;;AQI5201;06234;Engenharia Econômica para Aquicultura*ENGENHARIA DE AQUICULTURA;;;;;;;4.1510-3 / CCA-AQI103;José Luiz Pedreira Mouriño;54.0;20.0;18.0;0.0;2;
119;;;AQI5202;01234;Sociologia para Aquicultura[Reservada Curso]*ENGENHARIA DE AQUICULTURA;;;;;;;2.0820-2 / CCA-AQI202;Luis Alejandro Vinatea Arana;36.0;50.0;43.0;0.0;7;
120;;;AQI5203;09234;Carcinicultura*ENGENHARIA DE AQUICULTURA;;;;;;;2.0820-4 / CCA-AQI102;Edemar Roberto Andreatta;72.0;20.0;6.0;0.0;14;
121;;;AQI5204;03234A;Fisiologia de Animais Aquáticos Cultiváveis*ENGENHARIA DE AQUICULTURA;;;;;;;5.1010-2 / CCA-AQI1046.0820-2 / CCA-LAQ008;Aime Rachel Magenta Magalhaes;72.0;20.0;8.0;0.0;12;
122;;;AQI5204;03234B;Fisiologia de Animais Aquáticos Cultiváveis[Reservada Curso]*ENGENHARIA DE AQUICULTURA;;;;;;;5.1010-2 / CCA-AQI1046.1010-2 / CCA-LAQ008;Aime Rachel Magenta Magalhaes;72.0;20.0;10.0;0.0;10;
123;;;AQI5207;07234;Cultivo de Moluscos*ENGENHARIA DE AQUICULTURA;;;;;;;4.0820-4 / CCA-AQI102;Marcos Caivano Pedroso de Albuquerque;72.0;20.0;18.0;0.0;2;
124;;;AQI5210;03234;Viagem de Estudo[Reservada Curso]*ENGENHARIA DE AQUICULTURA;;;;;;;;Mauricio Laterça Martins;36.0;20.0;20.0;0.0;LOTADA;8.0
125;;;AQI5211;04234;Qualidade de Água I*ENGENHARIA DE AQUICULTURA;;;;;;;2.1510-3 / CCA-AQI104;Luis Alejandro Vinatea Arana;54.0;30.0;30.0;0.0;LOTADA;
126;;;AQI5212;05234;Qualidade de Água II*ENGENHARIA DE AQUICULTURA;;;;;;;5.0910-3 / CCA-AQI103;Luis Alejandro Vinatea Arana;54.0;30.0;20.0;0.0;10;
127;;;AQI5213;04234;Cultivo de Microalgas*ENGENHARIA DE AQUICULTURA;;;;;;;5.1330-4 / CCA-AQI104;Roberto Bianchini Derner;72.0;30.0;27.0;0.0;3;
128;;;AQI5214;05234;Nutrição em Aquicultura*ENGENHARIA DE AQUICULTURA;;;;;;;2.1010-2 / CCA-AQI1034.1010-2 / CCA-AQI103;Debora Machado Fracalossi;72.0;30.0;19.0;0.0;11;
129;;;AQI5215;05234;Aquicultura e o Meio Ambiente*ENGENHARIA DE AQUICULTURA;;;;;;;4.0730-3 / CCA-AQI103;Luis Alejandro Vinatea Arana;54.0;30.0;22.0;0.0;8;
